time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag,,,,-9.823794359
139.076619,0.011207,-0.045486,-0.01197,-9.868068,-9.86818,0,-0.00639,0.00213,99254.24,25.97,-0.044385641,-0.038913,,,,
139.087811,0.011192,-0.057456,0.043092,-9.793854,-9.794117,0.00426,-0.00213,0.003195,99254.24,25.97,0.029677359,0.03515,,,,
139.099119,0.011308,-0.052668,-0.057456,-9.853704,-9.854012,-0.001065,-0.003195,0.001065,99254.24,25.97,-0.030217641,-0.024745,,,,
139.110322,0.011203,0.002394,0.038304,-9.853704,-9.853779,-0.003195,0.001065,0.003195,99256.91,25.97,-0.029984641,-0.024512,,,,
139.121451,0.011129,-0.028728,-0.016758,-9.798642,-9.798698,0.005325,-0.005325,0.001065,99256.91,25.97,0.025096359,0.030569,,,,
139.132558,0.011107,-0.014364,-0.019152,-9.860886,-9.860915,0.00213,-0.00426,0.003195,99256.91,25.97,-0.037120641,-0.031648,,,,
139.14372,0.011162,-0.02394,-0.045486,-9.810612,-9.810747,0,-0.00426,0.001065,99256.91,25.97,0.013047359,0.01852,,,,
139.155318,0.011598,-0.002394,-0.08379,-9.805824,-9.806182,0.001065,-0.00426,0.00426,99256.91,25.97,0.017612359,0.023085,,,,
139.166213,0.010896,0.028728,-0.045486,-9.834552,-9.834699,-0.001065,-0.00426,0.001065,99256.91,25.97,-0.010904641,-0.005432,,,,
139.177443,0.011229,-0.009576,-0.03591,-9.822582,-9.822652,0.003195,-0.00426,0.003195,99259.59,25.97,0.001142359,0.006615,,,,
139.188462,0.01102,0.026334,-0.026334,-9.856098,-9.856168,0,-0.00426,0.00426,99259.59,25.97,-0.032373641,-0.026901,,,,
139.199634,0.011171,0.04788,-0.02394,-9.82737,-9.827516,0.001065,-0.005325,0.003195,99259.59,25.97,-0.003721641,0.001751,,,,
139.210858,0.011225,-0.016758,-0.026334,-9.810612,-9.810662,0.00213,-0.00639,0.00426,99259.59,25.97,0.013132359,0.018605,,,,
139.222182,0.011324,0.062244,-0.05985,-9.793854,-9.794235,0.00213,-0.00426,0.001065,99259.59,25.97,0.029559359,0.035032,,,,
139.233189,0.011006,-0.057456,-0.043092,-9.824976,-9.825238,0,-0.00639,0,99259.59,25.97,-0.001443641,0.004029,,,,
139.244398,0.011209,0.007182,-0.15561,-9.762732,-9.763975,0,-0.007455,0.001065,99259.59,25.97,0.059819359,0.065292,,,,
