Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,ag
12.1676598,0.00244,0.186042,9.820743,-0.108275,9.823102,90.631554,88.914734,1,2,3,0
12.1701002,0.00244,0.219541,9.825528,-0.160917,9.829297,90.938042,88.719994,1,2,3,0
12.1725397,0.00244,0.219541,9.811171,-0.184846,9.815367,91.079071,88.718124,1,2,3,0
12.1749783,0.00244,0.214756,9.820743,-0.203988,9.825208,91.189644,88.747276,1,2,3,0
12.1774178,0.00244,0.20997,9.808778,-0.19681,9.812999,91.1492,88.773697,1,2,3,0
12.1798573,0.00244,0.202792,9.835099,-0.172881,9.838709,91.006828,88.818771,1,2,3,0
12.1822977,0.00244,0.202792,9.799207,-0.153739,9.80251,90.898643,88.814453,1,2,3,0
12.1847363,0.00244,0.217149,9.808778,-0.153739,9.812386,90.897736,88.731781,1,2,3,0
12.1871758,0.00244,0.200399,9.806385,-0.110668,9.809056,90.646439,88.829292,1,2,3,0
12.1896143,0.00244,0.154935,9.808778,-0.105882,9.810573,90.618385,89.095055,1,2,3,0
12.1920538,0.00244,0.202792,9.78485,-0.026919,9.786988,90.157593,88.812714,1,2,3,0
12.1944942,0.00244,0.200399,9.789636,-0.000598,9.791687,90.003502,88.827293,1,2,3,0
12.1969337,0.00244,0.198006,9.792028,-0.019741,9.79405,90.115486,88.841568,1,2,3,0
12.1993723,0.00244,0.174078,9.770494,-0.014955,9.772056,90.087685,88.979286,1,2,3,0
12.2018118,0.00244,0.221934,9.772886,-0.050847,9.775538,90.298027,88.699081,1,2,3,0
12.2042522,0.00244,0.241077,9.734601,-0.093918,9.738039,90.552597,88.58136,1,2,3,0
12.2066908,0.00244,0.19322,9.746565,-0.098704,9.74898,90.580101,88.864288,1,2,3,0
12.2091303,0.00244,0.217149,9.741779,-0.096311,9.744676,90.566292,88.723061,1,2,3,0
12.2115698,0.00244,0.217149,9.760921,-0.151346,9.76451,90.8881,88.725563,1,2,3,0
12.2140083,0.00244,0.214756,9.734601,-0.122632,9.737741,90.721573,88.736198,1,2,3,0
12.2164488,0.00244,0.238684,9.736994,-0.098704,9.740419,90.580612,88.595779,1,2,3,0
12.2188883,0.00244,0.221934,9.713065,-0.125025,9.716405,90.737267,88.691071,1,2,3,0
12.2213268,0.00244,0.190828,9.746565,-0.108275,9.749034,90.636353,88.878349,1,2,3,0
12.2237663,0.00244,0.219541,9.717851,-0.10349,9.720881,90.609985,88.705818,1,2,3,0
12.2262058,0.00244,0.19322,9.720243,-0.098704,9.722665,90.581673,88.861214,1,2,3,0
12.2286453,0.00244,0.195613,9.727423,-0.067597,9.729624,90.398071,88.847969,1,2,3,0
12.2310848,0.00244,0.238684,9.720243,-0.079561,9.723499,90.468819,88.593361,1,2,3,0
12.2335243,0.00244,0.205185,9.758529,-0.177667,9.762302,91.042801,88.795464,1,2,3,0
12.2359629,0.00244,0.217149,9.722636,-0.129811,9.725927,90.76474,88.720551,1,2,3,0
12.2384033,0.00244,0.236291,9.765707,-0.077169,9.76887,90.452606,88.613937,1,2,3,0
12.2408428,0.00244,0.202792,9.777672,-0.16331,9.781138,90.95668,88.811836,1,2,3,0
12.2432814,0.00244,0.217149,9.789636,-0.153739,9.793251,90.89949,88.729301,1,2,3,0
12.2457209,0.00244,0.224327,9.792028,-0.172881,9.796124,91.011208,88.68763,1,2,3,0
12.2481604,0.00244,0.181256,9.799207,-0.16331,9.802243,90.95462,88.940315,1,2,3,0
12.2505999,0.00244,0.207577,9.775279,-0.122632,9.778252,90.718582,88.783508,1,2,3,0
12.2530394,0.00244,0.272184,9.813564,-0.134596,9.818261,90.785477,88.411285,1,2,3,0
12.2554789,0.00244,0.195613,9.787243,-0.165703,9.7906,90.969757,88.855011,1,2,3,0
12.2579174,0.00244,0.248255,9.78485,-0.182453,9.7897,91.067894,88.546638,1,2,3,0
12.2603569,0.00244,0.217149,9.803992,-0.141775,9.807422,90.828285,88.731163,1,2,3,0
12.2627974,0.00244,0.284148,9.803992,-0.101097,9.80863,90.590553,88.339867,1,2,3,0
12.2652359,0.00244,0.262612,9.813564,-0.148953,9.818208,90.869278,88.467125,1,2,3,0
12.2676754,0.00244,0.257827,9.835099,-0.144168,9.839535,90.839523,88.498337,1,2,3,0
12.2701149,0.00244,0.245863,9.849456,-0.096311,9.852995,90.560066,88.570076,1,2,3,0
12.2725544,0.00244,0.267398,9.832706,-0.031705,9.836392,90.184677,88.442238,1,2,3,0
12.2749939,0.00244,0.238684,9.796814,-0.096311,9.800195,90.56308,88.604355,1,2,3,0
12.2774334,0.00244,0.20997,9.815957,-0.050847,9.818335,90.29673,88.77459,1,2,3,0
12.2798719,0.00244,0.214756,9.861421,-0.060419,9.863944,90.350952,88.752449,1,2,3,0
12.2823114,0.00244,0.221934,9.870992,-0.060419,9.873671,90.350609,88.712006,1,2,3,0
12.2847519,0.00244,0.214756,9.854242,-0.06999,9.856831,90.406845,88.751534,1,2,3,0
12.2871904,0.00244,0.257827,9.870992,-0.055633,9.874516,90.322807,88.503799,1,2,3,0
12.2896299,0.00244,0.250648,9.890134,-0.050847,9.89344,90.294472,88.548248,1,2,3,0
12.2920694,0.00244,0.22672,9.880563,-0.08674,9.883544,90.502846,88.685516,1,2,3,0
12.294508,0.00244,0.214756,9.882956,-0.098704,9.885781,90.572075,88.755165,1,2,3,0
12.2969484,0.00244,0.202792,9.87817,-0.101097,9.880769,90.586243,88.823921,1,2,3,0
12.2993879,0.00244,0.162114,9.906884,-0.08674,9.90859,90.501572,89.062508,1,2,3,0
12.3018265,0.00244,0.164507,9.861421,-0.115454,9.863468,90.67067,89.044289,1,2,3,0
12.304266,0.00244,0.147757,9.847063,-0.134596,9.849092,90.78302,89.140335,1,2,3,0
12.3067055,0.00244,0.119043,9.84467,-0.168096,9.846825,90.978149,89.307205,1,2,3,0
12.309145,0.00244,0.145364,9.873384,-0.14656,9.875542,90.850342,89.156509,1,2,3,0
12.3115845,0.00244,0.157328,9.892527,-0.134596,9.894693,90.779411,89.08886,1,2,3,0
12.314024,0.00244,0.111864,9.84467,-0.148953,9.846433,90.866783,89.348976,1,2,3,0
12.3164625,0.00244,0.152542,9.880563,-0.170489,9.883211,90.988419,89.115501,1,2,3,0
12.318903,0.00244,0.181256,9.887741,-0.194417,9.891313,91.126236,88.949806,1,2,3,0
12.3213425,0.00244,0.164507,9.875777,-0.223131,9.879667,91.294128,89.045677,1,2,3,0
12.323781,0.00244,0.152542,9.892527,-0.201595,9.895757,91.167305,89.11657,1,2,3,0
12.3262205,0.00244,0.176471,9.870992,-0.235095,9.875368,91.36412,88.975792,1,2,3,0
12.32866,0.00244,0.135793,9.880563,-0.280558,9.885478,91.62632,89.212608,1,2,3,0
12.3310995,0.00244,0.183649,9.854242,-0.297308,9.860437,91.727821,88.932327,1,2,3,0
12.333539,0.00244,0.154935,9.892527,-0.302094,9.898351,91.748917,89.102715,1,2,3,0
12.3359785,0.00244,0.166899,9.916455,-0.280558,9.921827,91.620361,89.035774,1,2,3,0
12.3384171,0.00244,0.15015,9.909277,-0.278166,9.914317,91.607758,89.131897,1,2,3,0
12.3408566,0.00244,0.152542,9.887741,-0.230309,9.8916,91.334152,89.116142,1,2,3,0
12.343297,0.00244,0.188435,9.926026,-0.201595,9.929861,91.163292,88.91243,1,2,3,0
12.3457355,0.00244,0.142971,9.933205,-0.175274,9.93578,91.010788,89.175385,1,2,3,0
12.348175,0.00244,0.171685,9.921241,-0.192024,9.924584,91.108643,89.008606,1,2,3,0
12.3506145,0.00244,0.147757,9.923634,-0.141775,9.925746,90.818413,89.146965,1,2,3,0
12.3530531,0.00244,0.135793,9.921241,-0.127418,9.922988,90.735733,89.215836,1,2,3,0
12.3554935,0.00244,0.128614,9.906884,-0.113061,9.908364,90.653793,89.25621,1,2,3,0
